GeoName,Description,2012,2013,2014,2015,2016
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Museums, historical sites, and similar institutions","100,552 E",110533,(D),(D),143821
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Amusement, gambling, and recreation industries","510,171 E",551003,605740,633199,688297
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Accommodation and food services,5421092,5844691,(D),(D),7228357
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Accommodation,795102,862648,(D),(D),1003569
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Food services and drinking places,4625990,4982043,5492740,5969914,6224788
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Other services (except public administration),5174024,5426691,5990278,6375697,6418836
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Repair and maintenance,"1,673,431 E",1784812,1969238,2120866,2106622
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Personal and laundry services,970598,1042892,1138422,1212686,1251718
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Religious, grantmaking, civic, professional, and similar organizations","2,067,517 E",2162998,2374591,(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Private households,"412,298 E",435989,508027,(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",    Government and government enterprises,24417221,25263704,26587161,28642381,29991008
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","      Federal, civilian",3198172,3232358,3336819,3491741,3546415
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Military,579728,557178,534908,530982,557906
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      State and local,20639321,21474168,22715434,24619658,25886687
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        State government,5589311,5896677,(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Local government,15050010,15577491,"16,505,860 E","17,846,864 E","18,561,422 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",Total compensation of employees,,,,,
